2022-11-15 06:38:09 status unpacked libassuan0:amd64 2.5.3-7.1
2022-11-15 06:38:09 status half-configured libassuan0:amd64 2.5.3-7.1
2022-11-15 06:38:09 status installed libassuan0:amd64 2.5.3-7.1
2022-11-15 06:38:09 configure libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1 <none>
2022-11-15 06:38:09 status unpacked libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2022-11-15 06:38:09 status half-configured libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2022-11-15 06:38:09 status installed libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2022-11-15 06:38:09 configure gnupg-l10n:all 2.2.27-2+deb11u2 <none>
2022-11-15 06:38:09 status unpacked gnupg-l10n:all 2.2.27-2+deb11u2
2022-11-15 06:38:09 status half-configured gnupg-l10n:all 2.2.27-2+deb11u2
2022-11-15 06:38:09 status installed gnupg-l10n:all 2.2.27-2+deb11u2
2022-11-15 06:38:09 configure libncursesw6:amd64 6.2+20201114-2 <none>
2022-11-15 06:38:09 status unpacked libncursesw6:amd64 6.2+20201114-2
2022-11-15 06:38:09 status half-configured libncursesw6:amd64 6.2+20201114-2
2022-11-15 06:38:09 status installed libncursesw6:amd64 6.2+20201114-2
2022-11-15 06:38:09 configure libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1 <none>
2022-11-15 06:38:09 status unpacked libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2022-11-15 06:38:09 status half-configured libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2022-11-15 06:38:09 status installed libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2022-11-15 06:38:09 configure readline-common:all 8.1-1 <none>
2022-11-15 06:38:09 status unpacked readline-common:all 8.1-1
2022-11-15 06:38:09 status half-configured readline-common:all 8.1-1
2022-11-15 06:38:09 status installed readline-common:all 8.1-1
2022-11-15 06:38:09 configure pinentry-curses:amd64 1.1.0-4 <none>
2022-11-15 06:38:09 status unpacked pinentry-curses:amd64 1.1.0-4
2022-11-15 06:38:09 status half-configured pinentry-curses:amd64 1.1.0-4
2022-11-15 06:38:09 status installed pinentry-curses:amd64 1.1.0-4
2022-11-15 06:38:09 configure libreadline8:amd64 8.1-1 <none>
2022-11-15 06:38:09 status unpacked libreadline8:amd64 8.1-1
2022-11-15 06:38:09 status half-configured libreadline8:amd64 8.1-1
2022-11-15 06:38:09 status installed libreadline8:amd64 8.1-1
2022-11-15 06:38:09 configure libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1 <none>
2022-11-15 06:38:09 status unpacked libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2022-11-15 06:38:09 status half-configured libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2022-11-15 06:38:09 status installed libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2022-11-15 06:38:09 configure gpgconf:amd64 2.2.27-2+deb11u2 <none>
2022-11-15 06:38:09 status unpacked gpgconf:amd64 2.2.27-2+deb11u2
2022-11-15 06:38:09 status half-configured gpgconf:amd64 2.2.27-2+deb11u2
2022-11-15 06:38:09 status installed gpgconf:amd64 2.2.27-2+deb11u2
2022-11-15 06:38:09 configure gpg:amd64 2.2.27-2+deb11u2 <none>
2022-11-15 06:38:09 status unpacked gpg:amd64 2.2.27-2+deb11u2
2022-11-15 06:38:09 status half-configured gpg:amd64 2.2.27-2+deb11u2
2022-11-15 06:38:09 status installed gpg:amd64 2.2.27-2+deb11u2
2022-11-15 06:38:09 configure gnupg-utils:amd64 2.2.27-2+deb11u2 <none>
2022-11-15 06:38:09 status unpacked gnupg-utils:amd64 2.2.27-2+deb11u2
2022-11-15 06:38:09 status half-configured gnupg-utils:amd64 2.2.27-2+deb11u2
2022-11-15 06:38:09 status installed gnupg-utils:amd64 2.2.27-2+deb11u2
2022-11-15 06:38:09 configure gpg-agent:amd64 2.2.27-2+deb11u2 <none>
2022-11-15 06:38:09 status unpacked gpg-agent:amd64 2.2.27-2+deb11u2
2022-11-15 06:38:09 status half-configured gpg-agent:amd64 2.2.27-2+deb11u2
2022-11-15 06:38:09 status installed gpg-agent:amd64 2.2.27-2+deb11u2
2022-11-15 06:38:09 configure gpgsm:amd64 2.2.27-2+deb11u2 <none>
2022-11-15 06:38:09 status unpacked gpgsm:amd64 2.2.27-2+deb11u2
2022-11-15 06:38:09 status half-configured gpgsm:amd64 2.2.27-2+deb11u2
2022-11-15 06:38:09 status installed gpgsm:amd64 2.2.27-2+deb11u2
2022-11-15 06:38:09 configure dirmngr:amd64 2.2.27-2+deb11u2 <none>
2022-11-15 06:38:09 status unpacked dirmngr:amd64 2.2.27-2+deb11u2
2022-11-15 06:38:09 status half-configured dirmngr:amd64 2.2.27-2+deb11u2
2022-11-15 06:38:09 status installed dirmngr:amd64 2.2.27-2+deb11u2
2022-11-15 06:38:09 configure gpg-wks-server:amd64 2.2.27-2+deb11u2 <none>
2022-11-15 06:38:09 status unpacked gpg-wks-server:amd64 2.2.27-2+deb11u2
2022-11-15 06:38:09 status half-configured gpg-wks-server:amd64 2.2.27-2+deb11u2
2022-11-15 06:38:09 status installed gpg-wks-server:amd64 2.2.27-2+deb11u2
2022-11-15 06:38:09 configure gpg-wks-client:amd64 2.2.27-2+deb11u2 <none>
2022-11-15 06:38:09 status unpacked gpg-wks-client:amd64 2.2.27-2+deb11u2
2022-11-15 06:38:09 status half-configured gpg-wks-client:amd64 2.2.27-2+deb11u2
2022-11-15 06:38:09 status installed gpg-wks-client:amd64 2.2.27-2+deb11u2
2022-11-15 06:38:09 configure gnupg:all 2.2.27-2+deb11u2 <none>
2022-11-15 06:38:09 status unpacked gnupg:all 2.2.27-2+deb11u2
2022-11-15 06:38:09 status half-configured gnupg:all 2.2.27-2+deb11u2
2022-11-15 06:38:09 status installed gnupg:all 2.2.27-2+deb11u2
2022-11-15 06:38:09 trigproc libc-bin:amd64 2.31-13+deb11u5 <none>
2022-11-15 06:38:09 status half-configured libc-bin:amd64 2.31-13+deb11u5
2022-11-15 06:38:09 status installed libc-bin:amd64 2.31-13+deb11u5
2022-11-15 06:38:14 startup archives unpack
2022-11-15 06:38:14 install openssl:amd64 <none> 1.1.1n-0+deb11u3
2022-11-15 06:38:14 status half-installed openssl:amd64 1.1.1n-0+deb11u3
2022-11-15 06:38:14 status unpacked openssl:amd64 1.1.1n-0+deb11u3
2022-11-15 06:38:14 install ca-certificates:all <none> 20210119
2022-11-15 06:38:14 status half-installed ca-certificates:all 20210119
2022-11-15 06:38:14 status unpacked ca-certificates:all 20210119
2022-11-15 06:38:14 install libpsl5:amd64 <none> 0.21.0-1.2
2022-11-15 06:38:14 status triggers-pending libc-bin:amd64 2.31-13+deb11u5
2022-11-15 06:38:14 status half-installed libpsl5:amd64 0.21.0-1.2
2022-11-15 06:38:14 status unpacked libpsl5:amd64 0.21.0-1.2
2022-11-15 06:38:14 install wget:amd64 <none> 1.21-1+deb11u1
2022-11-15 06:38:14 status half-installed wget:amd64 1.21-1+deb11u1
2022-11-15 06:38:14 status unpacked wget:amd64 1.21-1+deb11u1
2022-11-15 06:38:14 startup packages configure
2022-11-15 06:38:14 configure libpsl5:amd64 0.21.0-1.2 <none>
2022-11-15 06:38:14 status unpacked libpsl5:amd64 0.21.0-1.2
2022-11-15 06:38:14 status half-configured libpsl5:amd64 0.21.0-1.2
2022-11-15 06:38:15 status installed libpsl5:amd64 0.21.0-1.2
2022-11-15 06:38:15 configure wget:amd64 1.21-1+deb11u1 <none>
2022-11-15 06:38:15 status unpacked wget:amd64 1.21-1+deb11u1
2022-11-15 06:38:15 status half-configured wget:amd64 1.21-1+deb11u1
2022-11-15 06:38:15 status installed wget:amd64 1.21-1+deb11u1
2022-11-15 06:38:15 configure openssl:amd64 1.1.1n-0+deb11u3 <none>
2022-11-15 06:38:15 status unpacked openssl:amd64 1.1.1n-0+deb11u3
